Name,Type,Business Name,Connector,Database,Schema,Lineage Depth,Description,Owner users,Owner groups,Certification Status,Certification Message,Tags,Propagated Tags,Terms,Announcement Type,Announcement Title,Announcement Message,Last Refresh on Source,Usage,Popularity,Qualified Name,Source Asset GUID,Impacted Asset GUID,Atlan URL,Immediate upstream,Immediate downstream
TRANS_TEMP,Table,,snowflake,DATALAKE,PUBLIC,6,,,,,,,,,,,,"Mar 7, 2026, 4:09:48 PM",,NO USAGE,default/snowflake/1715075875/DATALAKE/PUBLIC/TRANS_TEMP,2123721c-4718-4a03-a2b1-015e2184a80a,6b9c2a8d-1736-4a4b-8a54-e56df355abbe,https://employbridge.atlan.com/assets/6b9c2a8d-1736-4a4b-8a54-e56df355abbe/overview?utm_source=impact_analysis_report,"DIM_INVOICE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_INVOICE), DIM_TRANS (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_TRANS), DIM_PAYRATE_TRANS (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAYRATE_TRANS)","DIM_MEASURE_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_MEASURE_TEMP), HOURS_PREP (default/snowflake/1715075875/DATALAKE/PUBLIC/HOURS_PREP), PREP_CALC_TRANAMOUNT (default/snowflake/1715075875/DATALAKE/PUBLIC/PREP_CALC_TRANAMOUNT), ACT_TRAN_AMT_TOTAL (default/snowflake/1715075875/DATALAKE/PUBLIC/ACT_TRAN_AMT_TOTAL)"
REPORT_DIMENSIONS_TEMP,Table,,snowflake,DATALAKE,PUBLIC,6,,,,,,,,,,,,"Mar 7, 2026, 4:09:01 PM",,NO USAGE,default/snowflake/1715075875/DATALAKE/PUBLIC/REPORT_DIMENSIONS_TEMP,2123721c-4718-4a03-a2b1-015e2184a80a,5e153ef4-23bf-4fcd-8dce-7f9fbf20d359,https://employbridge.atlan.com/assets/5e153ef4-23bf-4fcd-8dce-7f9fbf20d359/overview?utm_source=impact_analysis_report,"CDA_WCCODEBASE (default/snowflake/1715075875/PROD_DATALAKE/CRM_MSCRM/CDA_WCCODEBASE), CDA_EMPLOYEEBASE (default/snowflake/1715075875/PROD_DATALAKE/CRM_MSCRM/CDA_EMPLOYEEBASE), CDA_ASSIGNMENTBASE (default/snowflake/1715075875/PROD_DATALAKE/CRM_MSCRM/CDA_ASSIGNMENTBASE), DIM_INVOICE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_INVOICE), DIM_REGION (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_REGION), DIM_JOB_ORDER (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_JOB_ORDER), DIM_EMPLOYEE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_EMPLOYEE), DIM_CUSTOMER (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_CUSTOMER), ARCSTMXVAL (default/snowflake/1715075875/PROD_DATALAKE/LAWPROD/ARCSTMXVAL), ARCUSTOMER (default/snowflake/1715075875/PROD_DATALAKE/LAWPROD/ARCUSTOMER), DIM_TRANS (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_TRANS), DIM_PAYRATE_TRANS (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAYRATE_TRANS), DIM_WAGE_CODE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_WAGE_CODE), DIM_ACTIVITY (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_ACTIVITY), DIM_ASSIGNMENT (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_ASSIGNMENT)","DIM_MEASURE_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_MEASURE_TEMP), CALC_TRANAMOUNT_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/CALC_TRANAMOUNT_TEMP)"
DIM_PAY_CODE,Table,,snowflake,DATALAKE,PUBLIC,6,,,,,,,,,,,,"Mar 7, 2026, 3:53:57 PM",,NO USAGE,default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAY_CODE,2123721c-4718-4a03-a2b1-015e2184a80a,e8d964f4-b2b6-453b-993b-3bc565d92977,https://employbridge.atlan.com/assets/e8d964f4-b2b6-453b-993b-3bc565d92977/overview?utm_source=impact_analysis_report,"PRPAYCODE (default/snowflake/1715075875/PROD_DATALAKE/LAWPROD/PRPAYCODE), DIM_PAY_CODE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAY_CODE)","HOURS_PREP (default/snowflake/1715075875/DATALAKE/PUBLIC/HOURS_PREP), CALC_TRANAMOUNT_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/CALC_TRANAMOUNT_TEMP), REPORT_MEASURES_PAY_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/REPORT_MEASURES_PAY_TEMP), PREP_CALC_TRANAMOUNT (default/snowflake/1715075875/DATALAKE/PUBLIC/PREP_CALC_TRANAMOUNT), DIM_PAY_CODE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAY_CODE), ACT_TRAN_AMT_TOTAL (default/snowflake/1715075875/DATALAKE/PUBLIC/ACT_TRAN_AMT_TOTAL)"
ACT_TRAN_AMT_TOTAL,Table,,snowflake,DATALAKE,PUBLIC,6,,,,,,,,,,,,"Mar 7, 2026, 4:09:52 PM",,NO USAGE,default/snowflake/1715075875/DATALAKE/PUBLIC/ACT_TRAN_AMT_TOTAL,2123721c-4718-4a03-a2b1-015e2184a80a,574d3512-64e7-4345-9f0c-423098c8e08a,https://employbridge.atlan.com/assets/574d3512-64e7-4345-9f0c-423098c8e08a/overview?utm_source=impact_analysis_report,"TRANS_TEMP (default/snowflake/1715075875/DATALAKE/PUBLIC/TRANS_TEMP), DIM_PAY_CODE (default/snowflake/1715075875/DATALAKE/PUBLIC/DIM_PAY_CODE)",PREP_CALC_TRANAMOUNT (default/snowflake/1715075875/DATALAKE/PUBLIC/PREP_CALC_TRANAMOUNT)
ACCT_CAT_COUNT,Table,,snowflake,DATALAKE,PUBLIC,6,,,,,,,,,,,,"Mar 7, 2026, 4:10:11 PM",,NO USAGE,default/snowflake/1715075875/DATALAKE/PUBLIC/ACCT_CAT_COUNT,2123721c-4718-4a03-a2b1-015e2184a80a,aca17bc9-3fde-435a-a0b1-8c18a42bb0b8,https://employbridge.atlan.com/assets/aca17bc9-3fde-435a-a0b1-8c18a42bb0b8/overview?utm_source=impact_analysis_report,HOURS_PREP (default/snowflake/1715075875/DATALAKE/PUBLIC/HOURS_PREP),CALC_WORKCOMPAC (default/snowflake/1715075875/DATALAKE/PUBLIC/CALC_WORKCOMPAC)
HS_OBJECTS_CAMPAIGNS,Table,,snowflake,PROD_EDW,STAGE,6,,,,,,,,,,,,"Mar 7, 2026, 3:33:25 PM",,NO USAGE,default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_CAMPAIGNS,2123721c-4718-4a03-a2b1-015e2184a80a,284bd327-10c4-4338-96c8-37edb167e3d4,https://employbridge.atlan.com/assets/284bd327-10c4-4338-96c8-37edb167e3d4/overview?utm_source=impact_analysis_report,"HS_OBJECTS_CAMPAIGNS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_CAMPAIGNS), HS_OBJECTS_MARKETING_EMAILS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_MARKETING_EMAILS)","HS_OBJECTS_COMPANIES (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_COMPANIES), HS_OBJECTS_CAMPAIGNS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_CAMPAIGNS), HS_OBJECTS_MARKETING_EMAILS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_MARKETING_EMAILS)"
HS_OBJECTS_MARKETING_EMAILS,Table,,snowflake,PROD_EDW,STAGE,6,,,,,,,,,,,,"Mar 7, 2026, 3:33:36 PM",,NO USAGE,default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_MARKETING_EMAILS,2123721c-4718-4a03-a2b1-015e2184a80a,6da49825-629f-47f7-bb4a-3e89f39df3b7,https://employbridge.atlan.com/assets/6da49825-629f-47f7-bb4a-3e89f39df3b7/overview?utm_source=impact_analysis_report,"HS_OBJECTS_CAMPAIGNS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_CAMPAIGNS), HS_OBJECTS_MARKETING_EMAILS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_MARKETING_EMAILS)","HS_OBJECTS_COMPANIES (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_COMPANIES), HS_OBJECTS_CAMPAIGNS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_CAMPAIGNS), HS_OBJECTS_MARKETING_EMAILS (default/snowflake/1715075875/PROD_EDW/STAGE/HS_OBJECTS_MARKETING_EMAILS)"
LDG_PERSON_DETAILS,Table,,snowflake,PROD_DATALAKE,UKG,6,,,,,,,,,,,,"Mar 7, 2026, 2:32:45 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE/UKG/LDG_PERSON_DETAILS,2123721c-4718-4a03-a2b1-015e2184a80a,cba09e9e-8b88-4000-9cd6-804f17e45bc2,https://employbridge.atlan.com/assets/cba09e9e-8b88-4000-9cd6-804f17e45bc2/overview?utm_source=impact_analysis_report,,PERSON_DETAILS (default/snowflake/1715075875/PROD_DATALAKE/UKG/PERSON_DETAILS)
HD_PAYROLL,Table,,snowflake,PROD_DATALAKE_SD,ACQUISITION,6,,,,,,,,,,,,"Feb 4, 2026, 11:54:07 PM",2 queries by 1 user,MODERATE USAGE,default/snowflake/1715075875/PROD_DATALAKE_SD/ACQUISITION/HD_PAYROLL,2123721c-4718-4a03-a2b1-015e2184a80a,d5284de8-3d61-4d50-a2da-a3de5f0ccabf,https://employbridge.atlan.com/assets/d5284de8-3d61-4d50-a2da-a3de5f0ccabf/overview?utm_source=impact_analysis_report,,VW_HD_PAYROLL (default/snowflake/1715075875/PROD_DATALAKE/ACQUISITION/VW_HD_PAYROLL)
DIT_TRACKSOURCEDATA,Table,,snowflake,PROD_DATALAKE,CRM_MIGRATIONDB,6,,,,,,,,,,,,"Mar 18, 2025, 7:23:03 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE/CRM_MIGRATIONDB/DIT_TRACKSOURCEDATA,2123721c-4718-4a03-a2b1-015e2184a80a,282eee76-1bd2-47fd-876b-ae2804d4497b,https://employbridge.atlan.com/assets/282eee76-1bd2-47fd-876b-ae2804d4497b/overview?utm_source=impact_analysis_report,,VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT (default/snowflake/1715075875/PROD_ENTERPRISE/FINANCE/VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT)
DIT_TRACKSOURCEDATA,Table,,snowflake,PROD_DATALAKE,CRM_MIGRATIONDB_HD,6,,,,,,,,,,,,"Feb 4, 2026, 10:47:36 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE/CRM_MIGRATIONDB_HD/DIT_TRACKSOURCEDATA,2123721c-4718-4a03-a2b1-015e2184a80a,e565fa35-c600-4d98-9835-2bbb01823ceb,https://employbridge.atlan.com/assets/e565fa35-c600-4d98-9835-2bbb01823ceb/overview?utm_source=impact_analysis_report,,VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT (default/snowflake/1715075875/PROD_ENTERPRISE/FINANCE/VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT)
DIT_TRACKSOURCEDATA,Table,,snowflake,PROD_DATALAKE,CRM_MIGRATIONDB_SS,6,,,,,,,,,,,,"Feb 4, 2026, 10:47:36 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE/CRM_MIGRATIONDB_SS/DIT_TRACKSOURCEDATA,2123721c-4718-4a03-a2b1-015e2184a80a,ad3439f6-5dde-45fd-9383-79b7a15bd49b,https://employbridge.atlan.com/assets/ad3439f6-5dde-45fd-9383-79b7a15bd49b/overview?utm_source=impact_analysis_report,,VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT (default/snowflake/1715075875/PROD_ENTERPRISE/FINANCE/VW_COMBINED_DIT_TRACKSOURCEDATA_ACCOUNT)
TDG_PAYROLL,Table,,snowflake,PROD_DATALAKE_SD,ACQUISITION,6,,,,,,,,,,,,"Mar 18, 2025, 6:45:16 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE_SD/ACQUISITION/TDG_PAYROLL,2123721c-4718-4a03-a2b1-015e2184a80a,622a48f5-d0f6-4b55-9fd9-e88029c91829,https://employbridge.atlan.com/assets/622a48f5-d0f6-4b55-9fd9-e88029c91829/overview?utm_source=impact_analysis_report,,VW_TDG_PAYROLL (default/snowflake/1715075875/PROD_DATALAKE/ACQUISITION/VW_TDG_PAYROLL)
SS_PAYROLL,Table,,snowflake,PROD_DATALAKE_SD,ACQUISITION,6,,,,,,,,,,,,"Feb 4, 2026, 11:54:08 PM",,NO USAGE,default/snowflake/1715075875/PROD_DATALAKE_SD/ACQUISITION/SS_PAYROLL,2123721c-4718-4a03-a2b1-015e2184a80a,489a3203-9987-44e3-82ca-051f4a030e38,https://employbridge.atlan.com/assets/489a3203-9987-44e3-82ca-051f4a030e38/overview?utm_source=impact_analysis_report,,VW_SS_PAYROLL (default/snowflake/1715075875/PROD_DATALAKE/ACQUISITION/VW_SS_PAYROLL)
